time,odom_x,odom_y,fused_x,fused_y,lidar_avg
1763896905720,0.744453,-0.48002,0.744453,-0.48002,
1763896905757,0.744454,-0.48002,0.744454,-0.48002,
1763896905794,0.744455,-0.48002,0.744455,-0.48002,
1763896905839,0.744456,-0.48002,0.744456,-0.48002,
1763896905881,0.744457,-0.48002,0.744457,-0.48002,
1763896905926,0.744459,-0.48002,0.744459,-0.48002,
1763896905956,0.74446,-0.48002,0.74446,-0.48002,
1763896906001,0.744461,-0.48002,0.744461,-0.48002,
1763896906045,0.744462,-0.48002,0.744462,-0.48002,
1763896906082,0.744463,-0.48002,0.744464,-0.48002,
1763896906117,0.744465,-0.480019,0.744465,-0.480019,
1763896906152,0.744466,-0.480019,0.744466,-0.480019,
1763896906191,0.744467,-0.480019,0.744467,-0.480019,
1763896906242,0.744468,-0.480019,0.744468,-0.480019,
1763896906294,0.74447,-0.480019,0.74447,-0.480019,
1763896906331,0.744471,-0.480019,0.744471,-0.480019,
1763896906372,0.744472,-0.480019,0.744472,-0.480019,
1763896906411,0.744473,-0.480019,0.744473,-0.480019,
1763896906459,0.744474,-0.480019,0.744474,-0.480019,
1763896906498,0.744475,-0.480019,0.744475,-0.480019,
1763896906540,0.744477,-0.480019,0.744477,-0.480019,
1763896906570,0.744478,-0.480019,0.744478,-0.480019,
1763896906604,0.744479,-0.480019,0.744479,-0.480019,
1763896906653,0.74448,-0.480019,0.74448,-0.480019,
1763896906696,0.744482,-0.480019,0.744482,-0.480019,
1763896906730,0.744483,-0.480019,0.744483,-0.480019,
1763896906768,0.744484,-0.480019,0.744484,-0.480019,
1763896906812,0.744485,-0.480019,0.744485,-0.480019,
1763896906858,0.744486,-0.480019,0.744486,-0.480019,
1763896906906,0.744487,-0.480018,0.744487,-0.480018,
1763896906940,0.744489,-0.480018,0.744489,-0.480018,
1763896906984,0.74449,-0.480018,0.74449,-0.480018,
1763896907029,0.744491,-0.480018,0.744491,-0.480018,
1763896907080,0.744492,-0.480018,0.744492,-0.480018,
1763896907121,0.744494,-0.480018,0.744494,-0.480018,
1763896907162,0.744495,-0.480018,0.744495,-0.480018,
1763896907204,0.744496,-0.480018,0.744496,-0.480018,
1763896907243,0.744497,-0.480018,0.744497,-0.480018,
1763896907275,0.744498,-0.480018,0.744498,-0.480018,
1763896907324,0.744499,-0.480018,0.744499,-0.480018,
1763896907360,0.744501,-0.480018,0.744501,-0.480018,
1763896907415,0.744502,-0.480018,0.744502,-0.480018,
1763896907456,0.744503,-0.480018,0.744503,-0.480018,
1763896907496,0.744504,-0.480018,0.744504,-0.480018,
1763896907539,0.744505,-0.480018,0.744505,-0.480018,
1763896907592,0.744507,-0.480018,0.744507,-0.480018,
1763896907640,0.744508,-0.480018,0.744508,-0.480018,
1763896907673,0.744509,-0.480018,0.744509,-0.480018,
1763896907712,0.74451,-0.480018,0.74451,-0.480018,
1763896907761,0.744511,-0.480018,0.744511,-0.480018,
1763896907800,0.744513,-0.480018,0.744513,-0.480018,
1763896907840,0.744514,-0.480018,0.744514,-0.480018,
1763896907878,0.744515,-0.480017,0.744515,-0.480017,
1763896907919,0.744516,-0.480017,0.744516,-0.480017,
1763896907977,0.744517,-0.480017,0.744517,-0.480017,
1763896908022,0.744519,-0.480017,0.744519,-0.480017,
1763896908060,0.74452,-0.480017,0.74452,-0.480017,
1763896908100,0.744521,-0.480017,0.744521,-0.480017,
1763896908124,0.744522,-0.480017,0.744522,-0.480017,
1763896908156,0.744523,-0.480017,0.744523,-0.480017,
1763896908184,0.744525,-0.480017,0.744525,-0.480017,
1763896908219,0.744526,-0.480017,0.744526,-0.480017,
1763896908258,0.744527,-0.480017,0.744527,-0.480017,
1763896908297,0.744528,-0.480017,0.744528,-0.480017,
1763896908336,0.744529,-0.480017,0.744529,-0.480017,
1763896908383,0.74453,-0.480017,0.74453,-0.480017,
1763896908420,0.744697,-0.480011,0.744637,-0.480013,
1763896908456,0.744868,-0.480004,0.744786,-0.480007,
1763896908496,0.745203,-0.479991,0.745056,-0.479997,
1763896908529,0.745544,-0.479978,0.745376,-0.479985,
1763896908586,0.745885,-0.479965,0.745714,-0.479972,
1763896908623,0.746226,-0.479952,0.746059,-0.479959,
1763896908668,0.746567,-0.479939,0.746407,-0.479945,
1763896908711,0.746908,-0.479926,0.746755,-0.479932,
1763896908743,0.747249,-0.479913,0.747103,-0.479919,
1763896908781,0.74759,-0.4799,0.747451,-0.479905,
1763896908840,0.747931,-0.479887,0.747799,-0.479892,
1763896908875,0.748272,-0.479874,0.748146,-0.479879,
1763896908923,0.748777,-0.479855,0.748598,-0.479862,
1763896908959,0.749453,-0.479829,0.749198,-0.479839,
1763896908994,0.750298,-0.479797,0.749961,-0.47981,
1763896909027,0.751314,-0.479758,0.750895,-0.479774,
1763896909073,0.752499,-0.479713,0.752002,-0.479732,
1763896909116,0.754018,-0.479655,0.753386,-0.479679,
1763896909150,0.755548,-0.479597,0.754882,-0.479622,
1763896909202,0.757079,-0.479538,0.75642,-0.479563,
1763896909248,0.758938,-0.479467,0.758182,-0.479496,
1763896909277,0.760808,-0.479396,0.760036,-0.479425,
1763896909324,0.762843,-0.479318,0.762028,-0.479349,
1763896909364,0.764882,-0.479241,0.764075,-0.479271,
1763896909412,0.766922,-0.479163,0.766141,-0.479193,
1763896909449,0.769126,-0.479079,0.768319,-0.47911,
1763896909489,0.771336,-0.478994,0.770542,-0.479025,
1763896909531,0.77371,-0.478904,0.772885,-0.478935,
1763896909573,0.77609,-0.478813,0.775276,-0.478844,
1763896909620,0.778469,-0.478722,0.777684,-0.478752,
1763896909663,0.781013,-0.478625,0.780202,-0.478656,
1763896909696,0.783563,-0.478528,0.782765,-0.478558,
1763896909750,0.786277,-0.478425,0.785448,-0.478456,
1763896909786,0.788996,-0.478321,0.788179,-0.478352,
1763896909816,0.79188,-0.478211,0.791032,-0.478243,
1763896909858,0.794769,-0.4781,0.793933,-0.478132,
1763896909899,0.797658,-0.47799,0.796852,-0.478021,
1763896909953,0.800712,-0.477873,0.799881,-0.477905,
1763896909989,0.803771,-0.477757,0.802954,-0.477788,
1763896910029,0.806995,-0.477634,0.806148,-0.477666,
1763896910067,0.810223,-0.477511,0.809389,-0.477543,
1763896910106,0.813452,-0.477388,0.812648,-0.477418,
1763896910156,0.816846,-0.477258,0.816017,-0.47729,
1763896910190,0.820244,-0.477128,0.819429,-0.47716,
1763896910237,0.823808,-0.476992,0.822963,-0.477025,
1763896910271,0.827541,-0.47685,0.826649,-0.476884,
1763896910319,0.831444,-0.476701,0.8305,-0.476737,
1763896910353,0.835517,-0.476545,0.834521,-0.476583,
1763896910411,0.839925,-0.476377,0.838818,-0.47642,
1763896910440,0.844508,-0.476203,0.84333,-0.476247,
1763896910474,0.84926,-0.476021,0.84803,-0.476068,
1763896910508,0.854183,-0.475834,0.852909,-0.475882,
1763896910546,0.859275,-0.475639,0.857962,-0.475689,
1763896910577,0.864537,-0.475438,0.863188,-0.47549,
1763896910619,0.869969,-0.475231,0.868586,-0.475284,
1763896910666,0.870599,-0.475207,0.870991,-0.475192,
1763896910709,0.872214,-0.475145,0.872882,-0.47512,
1763896910748,0.874979,-0.47504,0.875309,-0.475027,
1763896910796,0.878896,-0.47489,0.878674,-0.474899,
1763896910842,0.883968,-0.474697,0.883132,-0.474729,
