x,y,z,yaw
-3.8,-31.9,0.5,180.00
-4.8,-31.9,0.5,180.00
-5.8,-31.9,0.5,180.00
-6.8,-31.9,0.5,180.00
-7.8,-31.9,0.5,180.00
-8.8,-31.9,0.5,180.00
-9.8,-31.9,0.5,180.00
-10.8,-31.9,0.5,180.00
-11.8,-31.9,0.5,180.00
-12.8,-31.9,0.5,180.00
-13.8,-31.9,0.5,180.00
-14.8,-31.9,0.5,180.00
-22.8,-31.9,0.5,180.00
-23.8,-31.9,0.5,180.00
-24.8,-31.9,0.5,180.00
-25.8,-31.9,0.5,180.00
-26.8,-31.9,0.5,180.00
-27.8,-31.9,0.5,180.00
-28.8,-31.9,0.5,180.00
-29.8,-31.9,0.5,180.00
-30.8,-31.9,0.5,180.00
-31.8,-31.9,0.5,180.00
-32.8,-31.9,0.5,180.00
-33.8,-31.9,0.5,180.00
-34.8,-31.9,0.5,180.00
-35.8,-31.9,0.5,180.00
-36.8,-31.9,0.5,180.00
-43.1,44.8,0.5,94.75
-43.1,43.8,0.5,-90.00
-43.1,42.8,0.5,-90.00
-43.1,41.8,0.5,-90.00
-43.1,40.8,0.5,-90.00
-43.1,39.8,0.5,-90.00
-43.1,38.8,0.5,-90.00
-43.1,37.8,0.5,-90.00
-43.1,36.8,0.5,-90.00
-43.1,35.8,0.5,-90.00
-43.1,34.8,0.5,-90.00
-43.1,33.8,0.5,-90.00
-43.1,32.8,0.5,-90.00
-43.1,31.8,0.5,-90.00
-43.1,30.8,0.5,-90.00
-43.1,21.8,0.5,-90.00
-43.1,20.8,0.5,-90.00
-43.1,19.8,0.5,-90.00
-43.1,18.8,0.5,-90.00
-43.1,17.8,0.5,-90.00
-43.1,16.8,0.5,-90.00
-43.1,15.8,0.5,-90.00
-43.1,14.8,0.5,-90.00
-43.1,13.8,0.5,-90.00
-43.1,12.8,0.5,-90.00
-43.1,11.8,0.5,-90.00
-43.1,10.8,0.5,-90.00
-43.1,9.8,0.5,-90.00
-43.1,8.8,0.5,-90.00
-43.1,7.8,0.5,-90.00
-43.1,6.8,0.5,-90.00
-43.1,5.8,0.5,-90.00
-43.1,4.8,0.5,-90.00
-43.1,3.8,0.5,-90.00
-43.1,2.8,0.5,-90.00
-43.1,1.8,0.5,-90.00
-43.1,0.8,0.5,-90.00
-43.1,-8.2,0.5,-90.00
-43.1,-9.2,0.5,-90.00
-43.1,-10.2,0.5,-90.00
-43.1,-11.2,0.5,-90.00
-43.1,-12.2,0.5,-90.00
-43.1,-13.2,0.5,-90.00
-43.1,-14.2,0.5,-90.00
-43.1,-15.2,0.5,-90.00
-43.1,-16.2,0.5,-90.00
-43.1,-17.2,0.5,-90.00
-43.1,-18.2,0.5,-90.00
-43.1,-19.2,0.5,-90.00
-43.1,-20.2,0.5,-90.00
-43.1,-21.2,0.5,-90.00
-43.1,-22.2,0.5,-90.00
-43.1,-23.2,0.5,-90.00
-43.1,-24.2,0.5,-90.00
-43.1,-25.2,0.5,-90.00
-43.1,-26.2,0.5,-90.00
-43.1,-27.2,0.5,-90.00
-43.1,-28.2,0.5,-90.00
-43.1,-29.2,0.5,-90.00
-39.4,-29.8,0.5,-7.61
-39.4,-28.8,0.5,90.00
-39.4,-27.8,0.5,90.00
-39.4,-26.8,0.5,90.00
-39.4,-25.8,0.5,90.00
-39.4,-24.8,0.5,90.00
-39.4,-23.8,0.5,90.00
-39.4,-22.8,0.5,90.00
-39.4,-21.8,0.5,90.00
-39.4,-20.8,0.5,90.00
-39.4,-19.8,0.5,90.00
-39.4,-18.8,0.5,90.00
-39.4,-17.8,0.5,90.00
-39.4,-16.8,0.5,90.00
-39.4,-15.8,0.5,90.00
-39.4,-14.8,0.5,90.00
-39.4,-13.8,0.5,90.00
-39.4,-12.8,0.5,90.00
-39.4,-11.8,0.5,90.00
-39.4,-10.8,0.5,90.00
-39.4,-9.8,0.5,90.00
-39.4,-8.8,0.5,90.00
-39.4,-7.8,0.5,90.00
-39.4,0.2,0.5,90.00
-39.4,1.2,0.5,90.00
-39.4,2.2,0.5,90.00
-39.4,3.2,0.5,90.00
-39.4,4.2,0.5,90.00
-39.4,5.2,0.5,90.00
-39.4,6.2,0.5,90.00
-39.4,7.2,0.5,90.00
-39.4,8.2,0.5,90.00
-39.4,9.2,0.5,90.00
-39.4,10.2,0.5,90.00
-39.4,11.2,0.5,90.00
-39.4,12.2,0.5,90.00
-39.4,13.2,0.5,90.00
-39.4,14.2,0.5,90.00
-39.4,15.2,0.5,90.00
-39.4,16.2,0.5,90.00
-39.4,17.2,0.5,90.00
-39.4,18.2,0.5,90.00
-39.4,19.2,0.5,90.00
-39.4,20.2,0.5,90.00
-39.4,21.2,0.5,90.00
-39.4,22.2,0.5,90.00
-39.4,30.2,0.5,90.00
-39.4,31.2,0.5,90.00
-39.4,32.2,0.5,90.00
-39.4,33.2,0.5,90.00
-39.4,34.2,0.5,90.00
-39.4,35.2,0.5,90.00
-39.4,36.2,0.5,90.00
-39.4,37.2,0.5,90.00
-39.4,38.2,0.5,90.00
-39.4,39.2,0.5,90.00
-39.4,40.2,0.5,90.00
-39.4,41.2,0.5,90.00
-39.4,42.2,0.5,90.00
-39.4,43.2,0.5,90.00
-39.4,44.2,0.5,90.00
-20.6,44.8,0.5,1.53
-20.6,43.8,0.5,-90.00
-20.6,42.8,0.5,-90.00
-20.6,41.8,0.5,-90.00
-20.6,40.8,0.5,-90.00
-20.6,39.8,0.5,-90.00
-20.6,38.8,0.5,-90.00
-20.6,37.8,0.5,-90.00
-20.6,36.8,0.5,-90.00
-20.6,35.8,0.5,-90.00
-20.6,34.8,0.5,-90.00
-20.6,33.8,0.5,-90.00
-20.6,32.8,0.5,-90.00
-20.6,31.8,0.5,-90.00
-20.6,30.8,0.5,-90.00
-20.6,21.8,0.5,-90.00
-20.6,20.8,0.5,-90.00
-20.6,19.8,0.5,-90.00
-20.6,18.8,0.5,-90.00
-20.6,17.8,0.5,-90.00
-20.6,16.8,0.5,-90.00
-20.6,15.8,0.5,-90.00
-20.6,14.8,0.5,-90.00
-20.6,13.8,0.5,-90.00
-20.6,12.8,0.5,-90.00
-20.6,11.8,0.5,-90.00
-20.6,10.8,0.5,-90.00
-20.6,9.8,0.5,-90.00
-20.6,8.8,0.5,-90.00
-20.6,7.8,0.5,-90.00
-20.6,6.8,0.5,-90.00
-20.6,5.8,0.5,-90.00
-20.6,-13.2,0.5,-90.00
-20.6,-14.2,0.5,-90.00
-20.6,-15.2,0.5,-90.00
-20.6,-16.2,0.5,-90.00
-20.6,-17.2,0.5,-90.00
-20.6,-18.2,0.5,-90.00
-20.6,-19.2,0.5,-90.00
-20.6,-20.2,0.5,-90.00
-20.6,-21.2,0.5,-90.00
-20.6,-22.2,0.5,-90.00
-20.6,-23.2,0.5,-90.00
-20.6,-24.2,0.5,-90.00
-20.6,-25.2,0.5,-90.00
-20.6,-26.2,0.5,-90.00
-20.6,-27.2,0.5,-90.00
-20.6,-28.2,0.5,-90.00
-20.6,-29.2,0.5,-90.00
-16.9,-29.8,0.5,-7.61
-16.9,-28.8,0.5,90.00
-16.9,-27.8,0.5,90.00
-16.9,-26.8,0.5,90.00
-16.9,-25.8,0.5,90.00
-16.9,-24.8,0.5,90.00
-16.9,-23.8,0.5,90.00
-16.9,-22.8,0.5,90.00
-16.9,-21.8,0.5,90.00
-16.9,-20.8,0.5,90.00
-16.9,-19.8,0.5,90.00
-16.9,-18.8,0.5,90.00
-16.9,-17.8,0.5,90.00
-16.9,-16.8,0.5,90.00
-16.9,-15.8,0.5,90.00
-16.9,-14.8,0.5,90.00
-16.9,-13.8,0.5,90.00
-16.9,6.2,0.5,90.00
-16.9,7.2,0.5,90.00
-16.9,8.2,0.5,90.00
-16.9,9.2,0.5,90.00
-16.9,10.2,0.5,90.00
-16.9,11.2,0.5,90.00
-16.9,12.2,0.5,90.00
-16.9,13.2,0.5,90.00
-16.9,14.2,0.5,90.00
-16.9,15.2,0.5,90.00
-16.9,16.2,0.5,90.00
-16.9,17.2,0.5,90.00
-16.9,18.2,0.5,90.00
-16.9,19.2,0.5,90.00
-16.9,20.2,0.5,90.00
-16.9,21.2,0.5,90.00
-16.9,22.2,0.5,90.00
-16.9,30.2,0.5,90.00
-16.9,31.2,0.5,90.00
-16.9,32.2,0.5,90.00
-16.9,33.2,0.5,90.00
-16.9,34.2,0.5,90.00
-16.9,35.2,0.5,90.00
-16.9,36.2,0.5,90.00
-16.9,37.2,0.5,90.00
-16.9,38.2,0.5,90.00
-16.9,39.2,0.5,90.00
-16.9,40.2,0.5,90.00
-16.9,41.2,0.5,90.00
-16.9,42.2,0.5,90.00
-16.9,43.2,0.5,90.00
-16.9,44.2,0.5,90.00
16.9,44.8,0.5,0.85
16.9,43.8,0.5,-90.00
16.9,42.8,0.5,-90.00
16.9,41.8,0.5,-90.00
16.9,40.8,0.5,-90.00
16.9,39.8,0.5,-90.00
16.9,38.8,0.5,-90.00
16.9,37.8,0.5,-90.00
16.9,36.8,0.5,-90.00
16.9,35.8,0.5,-90.00
16.9,34.8,0.5,-90.00
16.9,33.8,0.5,-90.00
16.9,32.8,0.5,-90.00
16.9,31.8,0.5,-90.00
16.9,30.8,0.5,-90.00
16.9,21.8,0.5,-90.00
16.9,20.8,0.5,-90.00
16.9,19.8,0.5,-90.00
16.9,18.8,0.5,-90.00
16.9,17.8,0.5,-90.00
16.9,16.8,0.5,-90.00
16.9,15.8,0.5,-90.00
16.9,14.8,0.5,-90.00
16.9,13.8,0.5,-90.00
16.9,12.8,0.5,-90.00
16.9,11.8,0.5,-90.00
16.9,10.8,0.5,-90.00
