step,x,y,z,yaw,lane_id,segment_id,parent_segment_id,lane_side,direction,direction_group,connect_next
102,-18.017,24.419,0.5,-23.806,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
103,-17.915,24.374,0.5,-29.105,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
104,-17.818,24.32,0.5,-34.267,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
105,-17.727,24.258,0.5,-39.872,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
106,-17.642,24.187,0.5,-45.000,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
107,-17.563,24.108,0.5,-50.128,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
108,-17.492,24.023,0.5,-55.733,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
109,-17.43,23.932,0.5,-60.895,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
110,-17.376,23.835,0.5,-66.194,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
111,-17.331,23.733,0.5,-71.565,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
112,-17.296,23.628,0.5,-76.464,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
113,-17.27,23.52,0.5,-82.164,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
114,-17.255,23.411,0.5,-87.421,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
115,-17.25,23.3,0.5,-90.000,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,smooth_same_color_arc_forward_right_xm17p25_y24p5_bottom_left,right,forward,forward_right,1
116,-17.25,22.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
117,-17.25,22.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
118,-17.25,21.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
119,-17.25,21.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
120,-17.25,20.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
121,-17.25,20.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
122,-17.25,19.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
123,-17.25,19.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
124,-17.25,18.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
125,-17.25,18.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
126,-17.25,17.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
127,-17.25,17.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
128,-17.25,16.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
129,-17.25,16.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
130,-17.25,15.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
131,-17.25,15.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
132,-17.25,14.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
133,-17.25,14.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
134,-17.25,13.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
135,-17.25,13.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
136,-17.25,12.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
137,-17.25,12.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
138,-17.25,11.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
139,-17.25,11.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
140,-17.25,10.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
141,-17.25,10.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
142,-17.25,9.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
143,-17.25,9.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
144,-17.25,8.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
145,-17.25,8.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
146,-17.25,7.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
147,-17.25,7.13,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
148,-17.25,6.63,0.5,-90.000,roundabout_top_vertical_forward_right,roundabout_top_vertical_clean,roundabout_top_vertical_clean,right,forward,forward_right,1
