step,x,y,z,yaw,lane_id,direction_group,segment_id,parent_segment_id,lane_side,direction,connect_next
92,-41.500,2.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
93,-41.500,2.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
94,-41.500,1.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
95,-41.500,1.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
96,-41.500,0.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
97,-41.500,-0.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
98,-41.500,-0.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
99,-41.500,-1.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
100,-41.500,-1.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
101,-41.500,-2.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
102,-41.500,-2.500,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
103,-41.500,-3.000,0.500,-90.000,V_x-40.0_y-3.0_26.0_forward_right,forward_right,V_x-40.0_y-3.0_26.0,V_x-40.0_y-3.0_26.0,right,forward,1
104,-41.500,-3.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
105,-41.500,-4.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
106,-41.500,-4.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
107,-41.500,-5.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
108,-41.500,-5.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
109,-41.500,-6.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
110,-41.500,-6.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
111,-41.500,-7.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
112,-41.500,-7.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
113,-41.500,-8.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
114,-41.500,-8.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
115,-41.500,-9.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
116,-41.500,-9.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
117,-41.500,-10.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
118,-41.500,-10.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
119,-41.500,-11.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
120,-41.500,-11.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
121,-41.500,-12.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
122,-41.500,-12.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
123,-41.500,-13.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
124,-41.500,-13.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
125,-41.500,-14.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
126,-41.500,-14.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
127,-41.500,-15.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
128,-41.500,-15.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
129,-41.500,-16.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
130,-41.500,-16.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
131,-41.500,-17.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
132,-41.500,-17.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
133,-41.500,-18.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
134,-41.500,-18.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
135,-41.500,-19.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
136,-41.500,-19.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
137,-41.500,-20.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
138,-41.500,-20.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
139,-41.500,-21.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
140,-41.500,-21.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
141,-41.500,-22.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
142,-41.500,-22.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
143,-41.500,-23.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
144,-41.500,-23.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
145,-41.500,-24.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
146,-41.500,-24.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
147,-41.500,-25.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
148,-41.500,-25.500,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
149,-41.500,-26.000,0.500,-90.000,V_x-40.0_y-34.0_-3.0_forward_right,forward_right,V_x-40.0_y-34.0_-3.0,V_x-40.0_y-34.0_-3.0,right,forward,1
